Date,Open,High,Low,Close,Adj Close
Date,Open,High,Low,Close,Adj Close
1,2.4375,2.5,1.927083,1.958333,1.958333
2,1.96875,1.979167,1.708333,1.729167,1.729167
3,1.760417,1.770833,1.625,1.708333,1.708333
4,1.729167,1.75,1.635417,1.635417,1.635417
5,1.635417,1.645833,1.375,1.427083,1.427083
6,1.4375,1.447917,1.3125,1.395833,1.395833
7,1.40625,1.520833,1.333333,1.5,1.5
8,1.510417,1.645833,1.458333,1.583333,1.583333
9,1.625,1.635417,1.53125,1.53125,1.53125
10,1.541667,1.541667,1.479167,1.505208,1.505208
11,1.5,1.510417,1.479167,1.5,1.5
12,1.510417,1.53125,1.5,1.510417,1.510417
13,1.53125,1.53125,1.479167,1.479167,1.479167
14,1.479167,1.489583,1.395833,1.416667,1.416667
15,1.416667,1.541667,1.375,1.541667,1.541667
16,1.515625,1.708333,1.510417,1.65625,1.65625
17,1.65625,1.708333,1.65625,1.6875,1.6875
18,1.708333,1.708333,1.53125,1.583333,1.583333
19,1.59375,1.604167,1.53125,1.541667,1.541667
20,1.583333,1.645833,1.552083,1.604167,1.604167
21,1.625,1.625,1.583333,1.583333,1.583333
22,1.604167,1.604167,1.5625,1.572917,1.572917
23,1.598958,1.598958,1.494792,1.505208,1.505208
24,1.520833,1.536458,1.5,1.510417,1.510417
25,1.510417,1.53125,1.5,1.510417,1.510417
26,1.53125,1.552083,1.5,1.526042,1.526042
27,1.541667,1.541667,1.479167,1.5,1.5
28,1.505208,1.526042,1.479167,1.510417,1.510417
29,1.526042,1.526042,1.489583,1.510417,1.510417
30,1.520833,1.520833,1.505208,1.510417,1.510417
31,1.515625,1.515625,1.479167,1.489583,1.489583
32,1.510417,1.598958,1.479167,1.541667,1.541667
33,1.541667,1.541667,1.510417,1.515625,1.515625
34,1.515625,1.59375,1.510417,1.588542,1.588542
35,1.598958,1.916667,1.59375,1.911458,1.911458
36,1.833333,2.020833,1.833333,2,2
37,2.041667,2.333333,2.041667,2.302083,2.302083
38,2.302083,2.385417,2.270833,2.322917,2.322917
39,2.333333,2.572917,2.333333,2.5625,2.5625
40,2.520833,2.520833,2.208333,2.291667,2.291667
41,2.322917,2.333333,2.114583,2.135417,2.135417
42,2.135417,2.479167,2.135417,2.4375,2.4375
43,2.447917,2.494792,2.302083,2.333333,2.333333
44,2.34375,2.34375,2.15625,2.21875,2.21875
45,2.1875,2.21875,2.15625,2.15625,2.15625
46,2.177083,2.197917,2.145833,2.182292,2.182292
47,2.166667,2.1875,2.0625,2.135417,2.135417
48,2.1875,2.333333,2.177083,2.291667,2.291667
49,2.302083,2.3125,2.21875,2.260417,2.260417
50,2.21875,2.25,2.21875,2.229167,2.229167
51,2.229167,2.395833,2.21875,2.322917,2.322917
52,2.364583,2.5,2.333333,2.479167,2.479167
53,2.5,2.505208,2.427083,2.447917,2.447917
54,2.4375,2.4375,2.333333,2.395833,2.395833
55,2.34375,2.416667,2.25,2.416667,2.416667
56,2.375,2.411458,2.302083,2.3125,2.3125
57,2.333333,2.333333,2.145833,2.208333,2.208333
58,2.208333,2.3125,2.1875,2.25,2.25
59,2.25,2.260417,2.125,2.177083,2.177083
60,2.166667,2.302083,2.104167,2.291667,2.291667
61,2.291667,2.333333,2.25,2.328125,2.328125
62,2.28125,2.302083,2.197917,2.197917,2.197917
63,2.229167,2.229167,2.166667,2.197917,2.197917
64,2.177083,2.25,2.119792,2.15625,2.15625
65,2.135417,2.15625,1.9375,2.114583,2.114583
66,2.052083,2.052083,1.96875,2.041667,2.041667
67,2.09375,2.208333,2.052083,2.166667,2.166667
68,2.1875,2.1875,2.072917,2.166667,2.166667
69,2.135417,2.171875,2.072917,2.114583,2.114583
70,2.104167,2.125,2.09375,2.125,2.125
71,2.104167,2.260417,2.104167,2.21875,2.21875
72,2.239583,2.354167,2.229167,2.34375,2.34375
73,2.307292,2.322917,2.25,2.317708,2.317708
74,2.302083,2.395833,2.28125,2.375,2.375
